id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
NGC6983,NGC,,,NGC 6983,,NGC 6983,G,14.25,Microscopium,0.85,314.18096,-43.98603,Unknown
NGC6984,NGC,,,NGC 6984,,NGC 6984,G,12.73,Indus,1.80,314.47492,-51.87083,Unknown
NGC6985,NGC,,,NGC 6985,,NGC 6985,G,14.78,Aquarius,1.25,311.26242,-11.10419,Summer
NGC6985A,NGC,,,NGC 6985A,,NGC 6985A,G,15.46,Aquarius,1.02,311.25529,-11.10767,Summer
NGC6986,NGC,,,NGC 6986,,NGC 6986,G,14.72,Capricornus,0.98,314.12775,-18.56656,Summer
NGC6987,NGC,,,NGC 6987,,NGC 6987,G,12.45,Indus,2.03,314.54317,-48.63031,Unknown
NGC6988,NGC,,,NGC 6988,,NGC 6988,G,14.81,Delphinus,0.68,313.95400,10.50786,Summer
NGC6989,NGC,,,NGC 6989,,NGC 6989,OCl,,Cygnus,5.40,313.52883,45.23928,Autumn
NGC6990,NGC,,,NGC 6990,,NGC 6990,G,14,Indus,1.24,314.98717,-55.56197,Unknown
NGC6991,NGC,,,NGC 6991,,NGC 6991,OCl,,Cygnus,23.00,313.71667,47.46167,Autumn
NGC6992,Caldwell,,C33,NGC 6992,Eastern Veil,"C33,NGC 6992,Eastern Veil,Network Nebula",SNR,7,Cygnus,60.00,314.07946,31.74275,Autumn
NGC6993,NGC,,,NGC 6993,,NGC 6993,G,14.03,Capricornus,1.47,313.47521,-25.47253,Summer
NGC6994,Messier,M73,,NGC 6994,,"M73,NGC 6994",Other,8.9,Aquarius,,314.73321,-12.63550,Summer
NGC6995,NGC,,,NGC 6995,Eastern Veil,"NGC 6995,Eastern Veil,Network Nebula",SNR,7,Cygnus,12.00,314.29483,31.23517,Autumn
NGC6996,NGC,,,NGC 6996,,NGC 6996,*Ass,,Cygnus,,314.12504,45.47303,Autumn
NGC6997,NGC,,,NGC 6997,,NGC 6997,Cl+N,10,Cygnus,6.90,314.16438,44.63150,Autumn
NGC6998,NGC,,,NGC 6998,,NGC 6998,G,14.06,Microscopium,0.94,315.40700,-28.03192,Autumn
